2026-08-30T14:54:54.192915 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:55:47.300842 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:56:40.843739 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:57:32.882197 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:58:24.425436 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T14:59:16.605597 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:00:10.251276 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:01:06.180784 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:01:58.991612 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:02:52.390227 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:03:55.627025 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:05:01.321348 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:05:57.035986 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:06:48.943856 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
2026-08-30T15:07:44.019932 | CASH: $98.31 | OPEN: $0.00 | EQUITY: $98.31 | REALIZED_PNL: $-1.69 | UNREALIZED_PNL: $0.00 | FEES: $0.0000 | DD: 0.00%
